00016;INTESA SANPAOLO RE.O.CO. S.P.A.;MILANO;CI;CI;CI;CI;3;Esercizio di attività immobiliari di ogni specie;3N;CD1;A00I;EUR;N;S;N;;08593330965;08593330965;;0004146427444;0000000086347991;N;;;;;;;;;430;02;4;02;;029;N;  ;IT0005009466;681;20171201;100.00;100.00;20140320;        ;20140318;;MILANO;CNT;00016;P;Partecipazione;;;N;20171231
00017;INTESA SANPAOLO EXPO INSTITUTIONAL CONTACT S.R.L.;MILANO;PN;PN;PN;PN;2;Promozione di attività di relazione con Expo 2015 S.p.A;2N;CD1;A00I;EUR;N;N;N;;08822600964;08822600964;;0004218607506;0000000087974374;N;;;;;;;;;430;02;6;02;;024;N;  ;XX0000001190;7021;20171201;100.00;100.00;20141104;        ;20141030;;MILANO;CNT;00017;P;Partecipazione;;;N;20171231
00019;NUOVA SORGENIA HOLDING SPA;MILANO;AFV;CST;AFV;CST;2;Multiutility-energia;2N;ALT;A00I;EUR;N;N;N;;10983721001;10983721001;;0003611375653;0000000082313473;N;;;;;;;;;432;00;7;01;;029;N;L3;IT0005104887;701;20170808;16.670;16.670;20141112;        ;20100520;;MILANO;AFS;05219;P;Partecipazione;;;N;20171231
00020;EUSEBI HOLDINGS B.V.;PAESI BASSI;PN;PN;PN;PN;2;Veicolo che detiene quote di Fondo Real Estate;2N;IND;A00E;EUR;N;N;N;;;;0004663124515;0004663124515;0000000094887680;N;;;;;;;;;757;03;7;02;;029;N;  ;XX0009344021;4120;20170731;47.000;47.000;20170731;        ;20170724;;OLANDA;CLL;00020;P;Partecipazione;;;N;20171231
00035;SOCIETA' GENERALE PROG. CONSULENZE E PARTEC. SPA IN AMM. STRAORD;ROMA;ACT;CST;ACT;CST;2;Servizi: di Progettazione;2N;ALT;A00I;EUR;N;N;N;;00891821001;00435580584;;0000104817379;0000000017780255;N;004;030;033;;002;002;140;;430;00;7;00;;024;N;L3;X00007288302;9609;20150601;8.333;8.333;19981102;        ;19570316;;ROMA;AFS;00035;P;Partecipazione;;;N;20171231
00038;SCHUTTRANGE NUCLEUS SCA;LUSSEMBURGO;PN;PN;PN;PN;2;Holding di partecipazioni;2N;INF;A00E;EUR;N;N;N;;;;092E798W0;0004498831235;0000000091587660;N;;;;;;;;;776;00;7;01;;029;N;  ;QU0006734838;;20171201;15.739;15.739;20160930;        ;20160321;;LUSSEMBURGO;CLL;00038;P;Partecipazione;;;N;20171231
00042;KOSMAJ-MERMER A.D.;SERBIA;AFV;CST;AFV;CST;2;Varie: taglio e lavorazione pietra, marmo e granito;2S;ALT;A00E;RSD;S;N;N;;;;;0003929723110;0000000078308431;N;;;;;;;;;759;00;7;00;;023;N;L1;;237010;20120430;0.041;0.041;20120430;        ;19971231;;REPUBLIC OF SERBIA;AFS;00042;P;Partecipazione;;;N;20171231
00043;HOTELI BERNARDIN D.D.;SLOVENIA;AFV;CST;AFV;CST;2;Turistico-alberghiera;2N;ALT;A00E;EUR;N;N;N;;;;2600310W0;0002104352103;0000000080434219;N;;;;;;;;;757;00;7;00;;023;N;L3;;5510;20120713;2.160;2.160;20120713;        ;19900209;;SLOVENIA;AFS;00043;P;Partecipazione;;;N;20171231
00044;FENICE HOLDING S.P.A. IN LIQUIDAZIONE;CALENZANO;ACT;CST;ACT;CST;2;Realizzo attività di Holding BF SpA;2N;ALT;A00I;EUR;N;N;N;;06282820486;06282820486;;0003954279339;0000000081826335;N;;;;;;;;;430;00;7;00;;024;N;L3;IT0004863020;682001;20160525;4.307;4.307;20121009;        ;20120802;;CALENZANO;AFS;00044;P;Partecipazione;;;N;20171231
00045;PALLADIO HOLDING SPA;VICENZA;AFV;CST;AFV;CST;1;Holding di partecipazioni;1N;ALT;A00I;EUR;N;N;N;;03402170249;03402170249;;0002822081235;0000000081208825;N;;;;;;;;;285;00;7;00;;029;N;L3;IT0004260367;642;20160929;9.000;9.000;20131210;        ;20070612;81560076F6BAC5587473;VICENZA;AFS;D0045;P;Partecipazione;;;N;20171231
00050;LUNAR FUNDING V PLC;IRLANDA;CI;PN;CI;PN;1;Veiolo;1N;CD2;A00E;EUR;N;N;N;;;;0400800W0;0002381113718;0000000024758611;N;;;;;;;;;717;00;4;00;;;N;  ;;;20170501;0.000;0.000;20131231;        ;19000101;;IRLANDA;CNT;00050;V;Veicolo non partecipato;;;N;20171231
